Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Genus,Species,CommonName,TaxonName
nocatch,nocatch,nocatch,nocatch,nocatch,nocatch,nocatch,nocatch,nocatch,nocatch,nocatch,nocatch,nocatch,nocatch,No Catch,nocatch
Animalia,Annelida,,Clitellata,Hirudinea,Euhirudinea,,Rhynchobdellida,,,,Glossiphoniidae,,,Glossiphoniidae,Glossiphoniidae
Animalia,Annelida,,Clitellata,Oligochaeta,,,Enchytraeida,,,,Enchytraeidae,,,Enchytraeidae,Enchytraeidae
Animalia,Annelida,,Clitellata,Oligochaeta,,,Opisthopora,Lumbricina,,,,,,Lumbricina,Lumbricina
Animalia,Annelida,,Clitellata,Oligochaeta,,,Tubificida,,,,Naididae,,,Naididae,Naididae
Animalia,Annelida,Aclitellata,Polychaeta,Palpata,,,Aciculata,Phyllodocida,,,Nereididae,,,Nereididae,Nereididae
Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,,,,,,,Cyclopoid,Cyclopoida
Animalia,Annelida,Aclitellata,Polychaeta,Palpata,,,Canalipalpata,Sabellida,,,Sabellidae,,,Sabellidae,Sabellidae
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Amphipoda,Gammaridea,,,Corophiidae,,,Corophiidae,Corophiidae
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Amphipoda,Gammaridea,,,Crangonyctidae,,,Crangonyctidae,Crangonyctidae
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Amphipoda,Gammaridea,,,Gammaridae,,,Gammaridae,Gammaridae
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Amphipoda,Gammaridea,,,Talitridae,,,Talitridae,Talitridae
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Mysida,,,,Mysidae,,,Mysidae,Mysidae
Animalia,Arthropoda,Crustacea,Ostracoda,,,,Podocopida,Cypridocopina,,Cypridoidea,Cyprididae,,,Cyprididae,Cyprididae
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Amphipoda,Gammaridea,,,Hyalellidae,,,Hyalellidae,Hyalellidae
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Eucarida,Decapoda,Pleocyemata,Astacidea,Astacoidea,Astacidae,,,Astacidae,Astacidae
Animalia,Chordata,Vertebrata,Actinopterygii,,,,Cyprinodontiformes,,,,Poeciliidae,Gambusia,affinis,Western Mosquitofish,Gambusia affinis
Animalia,Cnidaria,,Hydrozoa,,,,Anthoathecatae,,,,Hydridae,,,Hydridae,Hydridae
Animalia,Mollusca,,Bivalvia,Heterodonta,,,Veneroida,,,Corbiculoidea,Corbiculidae,,,Corbiculidae,Corbiculidae
Animalia,Mollusca,,Gastropoda,Heterobranchia,,,Hygrophila,,,Lymneoidea,Physidae,,,Physidae,Physidae
Animalia,Mollusca,,Gastropoda,Heterobranchia,,,Hygrophila,,,Planorboidea,Planorbidae,,,Planorbidae,Planorbidae
Animalia,Mollusca,,Gastropoda,,,,Basommatophora,,,,Ancylidae,,,Ancylidae,Ancylidae
Animalia,Nematoda,,Enoplea,Dorylaimia,,,Dorylaimida,Dorylaimina,,Dorylaimoidea,Dorylaimidae,,,Dorylaimidae,Dorylaimidae
Animalia,Nematoda,,,,,,Mermithida,,,,Mermithidae,,,Mermithidae,Mermithidae
Animalia,Nemertea,,Enopla,,,,Hoplonemertea,Monostilifera,,,Tetrastemmatidae,,,Tetrastemmatidae,Tetrastemmatidae
Animalia,Platyhelminthes,,Turbellaria,,,,Tricladida,,,,Planariidae,,,Planariidae,Planariidae
Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,Acariformes,Trombidiformes,,,,Eylaidae,,,Eylaidae,Eylaidae
Animalia,Arthropoda,,Arachnida,,,,Hydrachnida,,,,Lebertiidae,,,Lebertiidae,Lebertiidae
Animalia,Arthropoda,,Arachnida,,,,Hydrachnida,,,,Sperchontidae,,,Sperchontidae,Sperchontidae
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Adephaga,,,Dytiscidae,,,Dytiscidae,Dytiscidae
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,,,Helophoridae,,,Helophoridae,Helophoridae
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Nematocera,,,Ceratopogonidae,,,Ceratopogonidae,Ceratopogonidae
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Nematocera,,,Chaoboridae,,,Chaoboridae,Chaoboridae
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Nematocera,,,Chironomidae,,,Chironomidae,Chironomidae
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Brachycera,,,Empididae,,,Empididae,Empididae
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Brachycera,,,Ephydridae,,,Ephydridae,Ephydridae
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Nematocera,,,Psychodidae,,,Psychodidae,Psychodidae
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Nematocera,,,Simuliidae,,,Simuliidae,Simuliidae
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,,,,Tipulidae,,,Tipulidae,Tipulidae
Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Caenidae,,,Caenidae,Caenidae
Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Baetidae,,,Baetidae,Baetidae
Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Ephemerellidae,,,Ephemerellidae,Ephemerellidae
Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Heptageniidae,,,Heptageniidae,Heptageniidae
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Hemiptera,Heteroptera,,,Corixidae,,,Corixidae,Corixidae
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Hemiptera,Heteroptera,,,Notonectidae,,,Notonectidae,Notonectidae
Animalia,Arthropoda,Hexapoda,Insecta,,,,Odonata,Zygoptera,,,Coenagrionidae,,,Coenagrionidae,Coenagrionidae
