OrganismID,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Genus,Species,TaxonName,TaxonRank,LifeStage,CommonName,Classification,Organism
1,Animalia,Rotifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rotifera,Phylum,undifferentiated,Rotifer,Microzooplankton & Nauplii,Rotifers
2,Animalia,Arthropoda,Crustacea,Hexanauplia,Thecostraca,Cirripedia,NA,NA,NA,NA,NA,NA,NA,NA,Cirripedia,Infraclass,nauplius,Unidentified barnacle,Microzooplankton & Nauplii,Barnacles
3,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,Copepoda,Subclass,nauplius,Copepod,Microzooplankton & Nauplii,Copepod nauplii
4,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,NA,NA,NA,NA,NA,Cladocera,Suborder,nauplius,Cladoceran,Microzooplankton & Nauplii,Cladocera nauplii
5,Animalia,Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Phylum,nauplius,Unidentified arthropod,Microzooplankton & Nauplii,Unid nauplii
6,Animalia,Arthropoda,Crustacea,Ostracoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ostracoda,Class,undifferentiated,Ostracod,Microzooplankton & Nauplii,Ostracods
7,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,NA,NA,NA,Cyclopoida,Order,adult,Cyclopoid,Cyclopoids,Cyclopoid adult
8,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,NA,NA,NA,Cyclopoida,Order,copepodid,Cyclopoid,Cyclopoids,Cyclopoid copepodid
9,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,copepodid,Acanthocyclops vernalis,Cyclopoids,Acanthocyclops vernalis copepodid
10,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,adult,Acanthocyclops vernalis,Cyclopoids,Acanthocyclops vernalis adult
